team_name,group,elo_rating,recent_form,avg_goals_scored,avg_goals_conceded,key_player,key_player_stat,flag_emoji,confederation
Germany,E,1950,"W,W,D,W,L",2.10,1.10,Florian Wirtz,8 goals in qualifiers,🇩🇪,UEFA
Ivory Coast,E,1760,"W,D,W,L,D",1.90,1.00,Sébastien Haller,6 goals in CAF qualifiers,🇨🇮,CAF
Ecuador,E,1830,"W,D,W,L,W",1.55,0.85,Moises Caicedo,89% pass completion,🇪🇨,CONMEBOL
Curacao,E,1510,"D,L,W,D,L",1.00,1.50,Leandro Bacuna,3 goals in CONCACAF,🇨🇼,CONCACAF
Netherlands,F,1940,"W,L,W,W,D",2.20,0.90,Virgil van Dijk,4 clean sheets,🇳🇱,UEFA
Japan,F,1880,"W,W,W,W,W",2.50,0.60,Kaoru Mitoma,5 assists in AFC qualifiers,🇯🇵,AFC
Sweden,F,1770,"W,L,W,W,D",1.95,1.10,Viktor Gyökeres,10 goals in qualifiers,🇸🇪,UEFA
Tunisia,F,1680,"W,D,L,W,D",1.20,0.90,Ellyes Skhiri,3 key assists,🇹🇳,CAF
Belgium,G,1910,"W,D,L,W,D",1.90,0.85,Kevin De Bruyne,8 assists in qualifiers,🇧🇪,UEFA
Egypt,G,1760,"W,D,W,W,L",2.00,0.95,Mohamed Salah,8 goals in CAF qualifiers,🇪🇬,CAF
Iran,G,1790,"W,W,D,W,W",2.20,0.95,Mehdi Taremi,6 goals in WC Qualifiers,🇮🇷,AFC
New Zealand,G,1550,"W,W,D,L,W",1.50,1.40,Chris Wood,6 goals in OFC qualifiers,🇳🇿,OFC
Spain,H,2010,"W,W,W,W,D",2.40,0.70,Lamine Yamal,7 assists in qualifiers,🇪🇸,UEFA
Uruguay,H,1950,"W,W,W,L,W",2.05,0.80,Federico Valverde,5 goals in CONMEBOL,🇺🇾,CONMEBOL
Cape Verde,H,1620,"W,D,W,D,L",1.40,1.05,Garry Rodrigues,4 goals in CAF qualifiers,🇨🇻,CAF
Saudi Arabia,H,1650,"L,W,D,L,W",1.35,1.15,Salem Al-Dawsari,4 goals in qualifiers,🇸🇦,AFC
France,I,2040,"W,D,W,W,D",2.30,0.80,Kylian Mbappé,9 goals in Euro qualifiers,🇫🇷,UEFA
Senegal,I,1780,"W,W,D,W,D",1.70,0.70,Sadio Mané,6 goals in CAF qualifiers,🇸🇳,CAF
Norway,I,1850,"W,W,D,W,L",2.10,0.90,Erling Haaland,12 goals in qualifiers,🇳🇴,UEFA
Iraq,I,1640,"W,D,W,L,W",1.55,1.20,Amjad Attwan,4 goals in AFC qualifiers,🇮🇶,AFC
Argentina,J,2080,"W,W,D,L,W",2.10,0.65,Lionel Messi,11 goals in qualifiers,🇦🇷,CONMEBOL
Algeria,J,1730,"W,W,L,D,W",1.90,1.05,Riyad Mahrez,5 assists in qualifiers,🇩🇿,CAF
Austria,J,1810,"W,W,L,W,D",1.90,1.00,Marcel Sabitzer,5 goals in qualifiers,🇦🇹,UEFA
Jordan,J,1590,"D,W,D,L,W",1.20,1.30,Musa Al-Taamari,3 goals in AFC qualifiers,🇯🇴,AFC
Portugal,K,1970,"W,W,W,L,W",2.60,0.60,Cristiano Ronaldo,10 goals in qualifiers,🇵🇹,UEFA
Colombia,K,1940,"W,W,W,D,W",1.95,0.75,Luis Díaz,6 goals in CONMEBOL qualifiers,🇨🇴,CONMEBOL
Uzbekistan,K,1640,"W,W,D,W,L",1.60,1.10,Eldor Shomurodov,5 goals in AFC qualifiers,🇺🇿,AFC
DR Congo,K,1670,"W,D,W,L,W",1.50,0.95,Yoane Wissa,4 goals in CAF qualifiers,🇨🇩,CAF
England,L,2020,"L,W,W,D,W",2.15,0.75,Harry Kane,8 goals in Euro qualifiers,🏴󠁧󠁢󠁥󠁮󠁧󠁿,UEFA
Croatia,L,1890,"W,D,W,L,W",1.65,0.90,Luka Modrić,4 assists in qualifiers,🇭🇷,UEFA
Ghana,L,1690,"W,L,D,W,D",1.45,1.15,Mohammed Kudus,5 goals in CAF qualifiers,🇬🇭,CAF
Panama,L,1600,"D,W,L,W,D",1.25,1.20,Rolando Blackburn,3 goals in CONCACAF,🇵🇦,CONCACAF
