team_name,group,elo_rating,recent_form,avg_goals_scored,avg_goals_conceded,key_player,key_player_stat,flag_emoji,confederation
Chile,H,1730,"W,L,L,D,W",1.25,1.20,Alexis Sánchez,3 assists in qualifiers,🇨🇱,CONMEBOL
Venezuela,J,1690,"D,W,L,D,D",1.15,1.05,Salomón Rondón,4 goals in qualifiers,🇻🇪,CONMEBOL
Egypt,D,1760,"W,D,W,W,L",2.00,0.95,Mohamed Salah,8 goals in CAF qualifiers,🇪🇬,CAF
Nigeria,I,1770,"D,L,W,W,D",1.85,1.10,Victor Osimhen,7 goals in qualifiers,🇳🇬,CAF
Tunisia,F,1680,"W,D,L,W,D",1.20,0.90,Ellyes Skhiri,3 key assists,🇹🇳,CAF
Algeria,H,1730,"W,W,L,D,W",1.90,1.05,Riyad Mahrez,5 assists in qualifiers,🇩🇿,CAF
Cameroon,J,1680,"D,W,L,W,L",1.40,1.15,Vincent Aboubakar,4 goals in qualifiers,🇨🇲,CAF
Mali,L,1670,"W,D,W,L,W",1.50,0.95,Yves Bissouma,87% tackle success,🇲🇱,CAF
Canada,A,1750,"W,D,L,W,D",1.70,1.10,Jonathan David,5 goals in qualifiers,🇨🇦,CONCACAF
Costa Rica,K,1660,"W,D,L,L,W",1.30,1.25,Joel Campbell,3 goals in qualifiers,🇨🇷,CONCACAF
Saudi Arabia,G,1650,"L,W,D,L,W",1.35,1.15,Salem Al-Dawsari,4 goals in qualifiers,🇸🇦,AFC
Qatar,L,1640,"W,W,L,W,D",1.80,1.30,Akram Afif,8 assists in Asian Cup,🇶🇦,AFC
New Zealand,A,1550,"W,W,D,L,W",1.50,1.40,Chris Wood,6 goals in OFC qualifiers,🇳🇿,OFC
